assigned_at,receipt_id,original_filename
2026-01-12T14:40:20+00:00,R000062,R000057.jpeg
2026-01-12T14:40:28+00:00,R000063,R000058.jpeg
2026-01-12T14:40:38+00:00,R000064,R000059.jpg
2026-01-12T14:41:06+00:00,R000065,R000060.jpg
2026-01-12T14:41:17+00:00,R000066,R000061.jpeg
2026-01-12T14:45:48+00:00,R000067,R000062.jpeg
2026-01-12T14:45:57+00:00,R000068,R000063.jpeg
2026-01-12T14:46:09+00:00,R000069,R000064.jpg
2026-01-12T14:46:38+00:00,R000070,R000064.jpg
2026-01-12T14:47:06+00:00,R000071,R000065.jpg
2026-01-12T14:47:15+00:00,R000072,R000066.jpeg
2026-01-12T15:05:15+00:00,R000073,R000046.jpeg
2026-01-12T15:05:32+00:00,R000074,R000049.jpeg
2026-01-12T15:05:42+00:00,R000075,R000050.jpeg
2026-01-12T15:05:53+00:00,R000076,R000051.jpeg
2026-01-12T15:06:11+00:00,R000077,R000067.jpeg
2026-01-12T15:06:21+00:00,R000078,R000068.jpeg
2026-01-12T15:06:32+00:00,R000079,R000070.jpg
2026-01-12T15:07:06+00:00,R000080,R000071.jpg
2026-01-12T15:07:16+00:00,R000081,R000072.jpeg
2026-01-12T19:37:54+00:00,R000082,R000075.jpeg
2026-01-12T19:38:40+00:00,R000083,R000082.jpeg
2026-01-12T19:40:36+00:00,R000084,R000076.jpeg
2026-01-12T19:56:03+00:00,R000085,R000084.jpeg
2026-01-12T20:01:35+00:00,R000086,R000085.jpeg
2026-01-12T20:06:28+00:00,R000087,R000086.jpeg
2026-01-12T20:11:44+00:00,R000088,R000087.jpeg
2026-01-12T20:43:51+00:00,R000089,R000088.jpeg
2026-01-12T20:46:26+00:00,R000090,R000073.jpeg
2026-01-12T20:46:46+00:00,R000091,R000074.jpeg
2026-01-12T20:46:58+00:00,R000092,R000077.jpeg
2026-01-12T20:47:11+00:00,R000093,R000078.jpeg
2026-01-12T20:47:25+00:00,R000094,R000079.jpg
2026-01-12T20:48:06+00:00,R000095,R000080.jpg
2026-01-12T20:48:17+00:00,R000096,R000081.jpeg
2026-01-12T20:48:32+00:00,R000097,R000083.jpeg
2026-01-12T20:48:46+00:00,R000098,R000089.jpeg
2026-01-13T14:21:16+00:00,R000099,R000090.jpeg
2026-01-13T14:21:51+00:00,R000100,R000091.jpeg
2026-01-13T14:22:12+00:00,R000101,R000093.jpeg
2026-01-13T14:22:39+00:00,R000102,R000095.jpg
